Name,Description,List,Labels,Checklist,Due Date
BITKRAFT Ventures - Jens Hilgers,"**Fund:** BITKRAFT Ventures (Berlin/LA) | $800M+ AUM

**Partner:** Jens Hilgers - Founding General Partner

**LinkedIn:** https://www.linkedin.com/in/jenshilgers

**Background:** Serial entrepreneur, founded ESL (acquired), G2 Esports. Pioneer of esports industry. Values game design and player experience.

**Thesis Fit:** Deep gaming operator background. Active in AI + gaming convergence. Global early/mid-stage platform for gaming, esports, interactive media.

**Check Size:** $500K - $10M | Stage: Seed to Series B

**Recent Investments:** Frost Giant Studios, Overload Studios, GOALS

**Outreach Angle:** ESL founder pedigree - focus on AI transforming competitive gaming

**Email Draft:** See emails/bitkraft_jens_hilgers.txt",VC Outreach - Ready for Review,"Type: Outreach,Priority: P0,Status: Ready for Review,Workstream: Investor",Research partner | Draft personalized email | Send outreach | Schedule follow-up,2026-03-06
Griffin Gaming Partners - Phil Sanderson,"**Fund:** Griffin Gaming Partners (Santa Monica) | $750M+ AUM

**Partner:** Phil Sanderson - Managing Director & Co-Founder

**LinkedIn:** https://www.linkedin.com/in/phil-sanderson-32b600231

**Background:** 28 years in VC. Previously at Walden, IDG Ventures/Ridge Ventures. Longest-tenured gaming VC.

**Thesis Fit:** Deep network. Understands game monetization. High-conviction bets.

**Check Size:** $1M - $50M | Stage: Early to Late

**Recent Investments:** Discord, Scopely, Frost Giant Studios

**Outreach Angle:** Industry veteran - focus on AI transforming game development economics

**Email Draft:** See emails/griffin_phil_sanderson.txt",VC Outreach - Ready for Review,"Type: Outreach,Priority: P0,Status: Ready for Review,Workstream: Investor",Research partner | Draft personalized email | Send outreach | Schedule follow-up,2026-03-06
Konvoy Ventures - Jason Chapman,"**Fund:** Konvoy Ventures (Denver) | $150M+ AUM

**Partner:** Jason Chapman - Managing Partner & Co-Founder

**LinkedIn:** https://www.linkedin.com/in/jasondchapman

**Background:** Former BlackRock product analyst. True gamer: CSGO, Halo, AoE player. Data-driven approach.

**Thesis Fit:** Thesis-driven gaming fund. Web3 + AI gaming focus. Portfolio includes Solsten (AI player analytics).

**Check Size:** $500K - $3M | Stage: Seed to Series A

**Recent Investments:** Solsten, Bramble, eFuse, GameSquare

**Outreach Angle:** Gamer-first fund - emphasize player experience transformation via AI

**Email Draft:** See emails/konvoy_jason_chapman.txt",VC Outreach - Ready for Review,"Type: Outreach,Priority: P0,Status: Ready for Review,Workstream: Investor",Research partner | Draft personalized email | Send outreach | Schedule follow-up,2026-03-07
Hetz Ventures - Judah Taub,"**Fund:** Hetz Ventures (Tel Aviv/London) | $140M Fund II

**Partner:** Judah Taub - Managing Partner & Co-Founder

**LinkedIn:** https://www.linkedin.com/in/judah-taub-3773247b

**Background:** Former Head of Data at Lansdowne Partners ($20B hedge fund). Forbes 30 Under 30. Harvard Business School.

**Thesis Fit:** Data/AI infrastructure specialist. Deep technical expertise. European LP network.

**Check Size:** $500K - $5M | Stage: Seed to Series B

**Recent Investments:** Fundamental AI, Anima, Blink

**Outreach Angle:** Data + AI thesis - focus on AI infrastructure for game development

**Email Draft:** See emails/hetz_judah_taub.txt",VC Outreach - Ready for Review,"Type: Outreach,Priority: P1,Status: Ready for Review,Workstream: Investor",Research partner | Draft personalized email | Send outreach | Schedule follow-up,2026-03-08
Amplify Partners - Lenny Pruss,"**Fund:** Amplify Partners (Palo Alto) | $400M+ AUM

**Partner:** Lenny Pruss - General Partner

**LinkedIn:** https://www.linkedin.com/in/lennypruss

**Background:** 8+ years with technical founders. Led investments in dbt Labs, Temporal, Runway.

**Thesis Fit:** Developer tools specialist. ML infrastructure. Technical founder advocate.

**Check Size:** $500K - $5M | Stage: Pre-seed to Series A

**Recent Investments:** Runway, Modal, Luma AI, Temporal

**Outreach Angle:** AI infrastructure leader - emphasize technical team and dev tools

**Email Draft:** See emails/amplify_lenny_pruss.txt",VC Outreach - Ready for Review,"Type: Outreach,Priority: P1,Status: Ready for Review,Workstream: Investor",Research partner | Draft personalized email | Send outreach | Schedule follow-up,2026-03-08
BITKRAFT Ventures - Piers Kicks (Secondary),"**Fund:** BITKRAFT Ventures (Berlin/LA) | $800M+ AUM

**Partner:** Piers Kicks - Venture Partner

**LinkedIn:** https://www.linkedin.com/in/pierskicks

**Background:** Founding Partner at Delphi Digital. Crypto x gaming specialist. Joined BITKRAFT in 2021.

**Thesis Fit:** Blockchain gaming, Web3 infrastructure, metaverse technologies.

**Note:** Secondary partner. Contact only if no response from Jens Hilgers after 7-10 days.

**Outreach Angle:** Web3 gaming convergence - if blockchain/AI intersection is relevant",VC Outreach - Secondary Contact,"Type: Outreach,Priority: P2,Status: Secondary,Workstream: Investor",Wait 7-10 days after primary | Then send secondary outreach,2026-03-17
Griffin Gaming Partners - Peter Levin (Secondary),"**Fund:** Griffin Gaming Partners (Santa Monica) | $750M+ AUM

**Partner:** Peter Levin - Managing Director & Co-Founder

**LinkedIn:** https://www.linkedin.com/in/peter-y-levin-8109a811

**Background:** Former President of Interactive Ventures at Lionsgate. Co-founder of Nerdist Industries (acquired by Legendary).

**Thesis Fit:** Media + gaming convergence. Platform strategy. Content IP.

**Note:** Secondary partner. Contact only if no response from Phil Sanderson after 7-10 days.

**Outreach Angle:** Media/gaming convergence - if content/IP angle is relevant",VC Outreach - Secondary Contact,"Type: Outreach,Priority: P2,Status: Secondary,Workstream: Investor",Wait 7-10 days after primary | Then send secondary outreach,2026-03-17
Konvoy Ventures - Josh Chapman (Secondary),"**Fund:** Konvoy Ventures (Denver) | $150M+ AUM

**Partner:** Josh Chapman - Managing Partner & Co-Founder

**LinkedIn:** https://www.linkedin.com/in/joshchapmanb

**Background:** Former banking analyst at BlackRock. Deep gaming industry expertise.

**Thesis Fit:** Web3 gaming thesis. Blockchain + gaming convergence. Platform investments.

**Note:** Secondary partner. Contact only if no response from Jason Chapman after 7-10 days.

**Outreach Angle:** Web3 infrastructure - if blockchain gaming angle is relevant",VC Outreach - Secondary Contact,"Type: Outreach,Priority: P2,Status: Secondary,Workstream: Investor",Wait 7-10 days after primary | Then send secondary outreach,2026-03-17
Hetz Ventures - Pavel Livshiz (Secondary),"**Fund:** Hetz Ventures (Tel Aviv/London) | $140M Fund II

**Partner:** Pavel Livshiz - Partner

**LinkedIn:** https://www.linkedin.com/in/pavel-livshiz-68b3183a

**Background:** Tech and data-driven investor. Active portfolio support. European LP network.

**Thesis Fit:** Active portfolio support. European network for expansion.

**Note:** Secondary partner. Contact only if no response from Judah Taub after 7-10 days.

**Outreach Angle:** European expansion - if go-to-market angle is relevant",VC Outreach - Secondary Contact,"Type: Outreach,Priority: P2,Status: Secondary,Workstream: Investor",Wait 7-10 days after primary | Then send secondary outreach,2026-03-18
Amplify Partners - Mike Dauber (Secondary),"**Fund:** Amplify Partners (Palo Alto) | $400M+ AUM

**Partner:** Mike Dauber - General Partner

**LinkedIn:** https://www.linkedin.com/in/dauber

**Background:** Co-runs Amplify with Sunil Dhaliwal. Former Battery Ventures. Long-term firm builder.

**Thesis Fit:** Enterprise infrastructure. Cloud computing. Hands-on board member.

**Note:** Secondary partner. Contact only if no response from Lenny Pruss after 7-10 days.

**Outreach Angle:** Enterprise infrastructure - if B2B/enterprise angle is relevant",VC Outreach - Secondary Contact,"Type: Outreach,Priority: P2,Status: Secondary,Workstream: Investor",Wait 7-10 days after primary | Then send secondary outreach,2026-03-18